mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.425707260767619,1.0926460326552103,3.0558841228485107,0.5417826931664748,balanced,15,sqrt,5,20,100,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100}",,,,,,1
6.86974835395813,0.6438564788599208,3.216912269592285,0.1582659211007313,balanced,15,sqrt,5,20,200,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 200}",,,,,,1
8.357091347376505,0.4227778785750409,2.8391424814860025,1.15225565945402,balanced,15,sqrt,5,20,300,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 300}",,,,,,1
5.185705820719401,0.3248906978554453,1.9297435283660889,0.406568826992218,balanced,15,sqrt,10,5,100,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100}",,,,,,1
5.703028917312622,0.5249000449909473,3.705004930496216,0.21832274336801066,balanced,15,sqrt,10,5,200,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 200}",,,,,,1
7.10295295715332,0.3032064932673366,3.430064598719279,0.2410809740657818,balanced,15,sqrt,10,5,300,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 300}",,,,,,1
5.44580880800883,0.0850258232561393,3.3390345573425293,0.3006338704592063,balanced,15,sqrt,10,10,100,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,1
7.301135619481404,0.49884757467793384,2.5886433919270835,0.21249617851179822,balanced,15,sqrt,10,10,200,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 200}",,,,,,1
8.13819177945455,0.4196752521278108,3.6858330567677817,1.0614260480197393,balanced,15,sqrt,10,10,300,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 300}",,,,,,1
4.960482756296794,0.24006281404552712,3.7114596366882324,1.1464052486981806,balanced,15,sqrt,10,20,100,"{'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 100}",,,,,,1
